Return ID,Customer Name,Product Name,Status,Pincode
2167,Lavanya Nori,Charger,Pending,030853
2168,Raagini Gulati,Earbuds,Rejected,219057
2169,Shaurya Randhawa,Earbuds,Approved,079337
2170,Aarna Murthy,Air Purifier,Pending,223394
2171,Pushti Kant,Air Purifier,Rejected,765598
2172,Bishakha Srinivas,CPU,Pending,407442
2173,Hiral Wadhwa,Earbuds,Pending,104590
2174,Falguni Dara,Charger,Approved,867044
2175,Pushti Chaudhry,AC,Rejected,729533
2176,Lavanya Sura,Drone,Pending,875522
2177,Ryan Shankar,Earbuds,Pending,930593
2178,Ikbal Master,Charger,Rejected,287409
2179,Arunima Modi,Drone,Pending,334498
2180,Tanish Sule,Air Purifier,Rejected,676279
2181,Tanish Yadav,Camera,Rejected,747073
2182,Indali Ganguly,Air Purifier,Rejected,566819
2183,Tanveer Dave,Air Purifier,Rejected,364051
2184,Neha Andra,Charger,Approved,540407
2185,Rajeshri Bera,Earbuds,Approved,275547
2186,Nitara Babu,CPU,Pending,430955
2187,Jagat Sood,AC,Approved,977136
2188,Yahvi Jaggi,Charger,Approved,166379
2189,Aditya More,Earbuds,Rejected,437669
2190,Nikita Bhandari,Air Purifier,Approved,848084
2191,Tripti Sem,AC,Approved,004895
2192,Vedhika Gill,AC,Approved,033584
2193,Neel Rao,Drone,Pending,828340
2194,Jasmit Madan,Camera,Rejected,009926
2195,Libni Dara,Camera,Approved,264033
2196,William Chopra,Charger,Approved,320412
2197,Kashvi Venkatesh,AC,Pending,746742
2198,Sachi Grewal,CPU,Pending,691156
2199,Devansh Lalla,Drone,Pending,137009
2200,Bhavika Chahal,Camera,Rejected,378188
2201,Garima Suresh,Charger,Pending,722352
2202,Wriddhish Thaker,Earbuds,Pending,515693
2203,Ansh Balan,CPU,Rejected,305431
2204,Onveer Vohra,Air Purifier,Rejected,814783
2205,Mahika Dey,Air Purifier,Pending,678649
2206,Hemangini Ray,Earbuds,Rejected,475462
2207,Divya Mander,Charger,Rejected,046218
2208,Ryan Oak,Drone,Approved,250662
2209,Nandini Verma,Earbuds,Approved,312582
2210,Yug Pau,CPU,Pending,042539
2211,Ira Dugar,CPU,Rejected,938803
2212,Harini Divan,Charger,Pending,196703
2213,Yashodhara Ahluwalia,AC,Approved,137843
2214,Bina Borde,AC,Rejected,531480
2215,Triveni Date,Drone,Approved,602954
2216,Rohan Shan,Drone,Rejected,780894
2217,Patrick Solanki,Drone,Rejected,864541
2218,Teerth Vohra,AC,Approved,051344
2219,Madhav Thaman,CPU,Approved,071076
2220,Guneet Yadav,CPU,Pending,355679
2221,Sanaya Mandal,Charger,Approved,695919
2222,Brinda Khurana,Camera,Rejected,958915
2223,Bachittar Parmer,Drone,Approved,922526
2224,Praneel Vohra,AC,Rejected,627582
2225,Hamsini Hora,Earbuds,Rejected,257601
2226,Bishakha Sawhney,Air Purifier,Pending,096168
2227,Geetika Grover,Earbuds,Approved,238519
2228,David Murty,Earbuds,Rejected,503926
2229,Vihaan Garg,Charger,Pending,612748
2230,Indira Choudhary,CPU,Approved,127428
2231,Abhimanyu Bail,Camera,Rejected,261307
2232,Vaishnavi Badal,Charger,Pending,226292
2233,Ojas Tak,CPU,Pending,441374
2234,Charita Bhakta,Camera,Rejected,564562
2235,Oscar Bhattacharyya,Drone,Rejected,214571
2236,Gautami Vasa,CPU,Rejected,369882
2237,Rushil Kala,Camera,Rejected,423486
2238,Rachana Dash,CPU,Rejected,780420
2239,Agastya Dewan,Charger,Rejected,061627
2240,Watika Kadakia,Charger,Rejected,692758
2241,Mahika Prabhakar,Air Purifier,Rejected,621078
2242,Forum Chakraborty,Air Purifier,Rejected,591547
2243,Upadhriti Nadig,Camera,Approved,658172
2244,Wriddhish Patla,Camera,Pending,647364
2245,Devansh Naik,Drone,Rejected,027653
2246,Isha Bajaj,Charger,Approved,276684
2247,Isaiah Hora,Drone,Approved,773376
2248,Niharika Kannan,Earbuds,Rejected,075368
2249,Qadim Dutta,Earbuds,Approved,053681
2250,Ishwar De,AC,Approved,547683
2251,Quincy Kar,Drone,Rejected,605252
2252,Utkarsh Kalla,Camera,Rejected,246030
2253,Nathaniel Parikh,CPU,Rejected,489691
2254,Oviya Choudhury,Charger,Approved,178836
2255,Balveer Kanda,Earbuds,Approved,739991
2256,Tejas Murthy,Camera,Approved,233827
2257,Lajita Balay,Earbuds,Pending,770795
2258,Nilima Deep,Camera,Approved,980845
2259,Aarav Ravel,Camera,Approved,657994
2260,Tamanna Soman,Earbuds,Approved,137189
2261,Hamsini Amble,Drone,Pending,866002
2262,Tejas Mittal,Charger,Rejected,008908
2263,Liam Ahuja,AC,Rejected,102522
2264,Triveni Rajan,Charger,Rejected,961318
2265,Mason Palla,Camera,Approved,329271
2266,Abeer Dube,Drone,Pending,103812
2267,Edhitha Singh,Charger,Pending,660807
2268,Maanav Dhar,Earbuds,Pending,973958
2269,Barkha Saran,Drone,Rejected,613790
2270,Advaith Hari,CPU,Approved,770683
2271,Jai Gara,CPU,Rejected,621900
2272,Teerth Oommen,Camera,Rejected,105720
2273,Kashvi Vohra,Air Purifier,Rejected,190572
2274,Dayita Pandya,CPU,Rejected,881129
2275,Nachiket Sharma,Camera,Rejected,960040
2276,Anay Cheema,Drone,Approved,747788
2277,Inaya Purohit,CPU,Approved,822113
2278,Vyanjana Deol,Charger,Rejected,451241
2279,Indrajit Naik,AC,Approved,326914
2280,Luke Pradhan,Drone,Rejected,515804
2281,Ekapad Nair,Drone,Pending,676130
2282,Veer Mody,Air Purifier,Approved,781339
2283,Liam Narain,Drone,Rejected,505856
2284,Aachal Ranganathan,Drone,Approved,597102
2285,Viraj Das,Camera,Rejected,580257
2286,Yahvi Chandran,AC,Rejected,585506
2287,Nilima Lad,Camera,Pending,407624
2288,Wahab Manda,Drone,Pending,597599
2289,Nachiket Gulati,Air Purifier,Pending,300236
2290,Anmol Vohra,CPU,Rejected,783232
2291,Zayan Bandi,Camera,Pending,378687
2292,Michael Kadakia,Charger,Approved,532296
2293,Dalbir Ray,Charger,Approved,967576
2294,Hitesh Tailor,Air Purifier,Rejected,667250
2295,Ranveer Viswanathan,Charger,Approved,161896
2296,Alexander Kaul,CPU,Rejected,430434
2297,Waida Naik,Earbuds,Approved,600589
2298,Jatin Saha,Earbuds,Rejected,477287
2299,Devansh Sani,Earbuds,Rejected,204855
2300,Kashish Desai,Camera,Approved,080718
2301,Ganga Bhakta,Earbuds,Approved,529358
2302,Ishita Sethi,Charger,Approved,893207
2303,Yashasvi Soman,Air Purifier,Rejected,409752
2304,Sanaya Devi,Air Purifier,Approved,167399
2305,Charles Badal,Charger,Rejected,425600
2306,Zaitra De,Charger,Approved,843449
2307,Bhavani Mishra,Air Purifier,Pending,566663
2308,Anika Chaudhry,Earbuds,Approved,822992
2309,Manya Lad,Drone,Pending,051353
2310,Kabir Ram,Camera,Approved,497368
2311,Matthew Bahri,Charger,Approved,578141
2312,Isaac Bhattacharyya,Air Purifier,Pending,717389
2313,Reva Loyal,Charger,Rejected,556806
2314,Advika Dora,AC,Approved,977881
2315,Viraj Sant,Drone,Approved,267480
2316,Harish Nazareth,Charger,Approved,971073
2317,Gaurav Sem,Drone,Rejected,612872
2318,Ethan Lala,AC,Pending,637910
2319,Chasmum Ratta,AC,Approved,029587
2320,Umang Keer,Charger,Approved,251776
2321,Chaaya Nair,Camera,Rejected,820047
2322,Chandani Kale,Drone,Approved,684454
2323,Chandran Varkey,Charger,Rejected,376724
2324,Nisha De,Earbuds,Rejected,022948
2325,Pahal Iyengar,Drone,Rejected,674886
2326,Frederick Bath,Drone,Rejected,313571
2327,Chanakya Pingle,Earbuds,Approved,420387
2328,Tamanna Seshadri,Air Purifier,Rejected,840016
2329,Urvi Narula,Drone,Approved,904024
2330,Vasudha Balan,Air Purifier,Rejected,243092
2331,Yashodhara Kothari,Earbuds,Approved,772477
2332,Zayan Johal,Drone,Approved,460244
2333,Gautam Mishra,CPU,Rejected,297337
2334,Oliver Bansal,Air Purifier,Approved,951896
2335,Nathaniel Bhatia,Earbuds,Rejected,101162
2336,Yashica Rai,AC,Approved,045128
2337,Vrinda Chaudhary,CPU,Rejected,955893
2338,Ishani Rege,Air Purifier,Rejected,661629
2339,Vrinda Halder,Drone,Rejected,925960
2340,Turvi Ahuja,AC,Rejected,751059
2341,Orinder Kaul,Camera,Rejected,189888
2342,Hemang Khurana,Drone,Pending,919487
2343,Yashvi Khatri,Camera,Rejected,431943
2344,Varenya Desai,AC,Approved,565170
2345,Dayamai Brahmbhatt,Air Purifier,Approved,363392
2346,Janaki Mukhopadhyay,Air Purifier,Rejected,425630
2347,Onkar Setty,Air Purifier,Approved,958681
2348,Pavani Din,Earbuds,Approved,751535
2349,Victor Rama,CPU,Rejected,709119
2350,Gaurav Subramanian,Drone,Rejected,156555
2351,Ekaraj Narula,Drone,Rejected,379516
2352,Ikshita Srinivas,Air Purifier,Approved,843343
2353,Aashi Thaman,Earbuds,Rejected,613827
2354,Osha Keer,Earbuds,Approved,068539
2355,Krishna Dash,Earbuds,Rejected,783198
2356,Inaya Chauhan,AC,Rejected,747257
2357,Jeremiah Manda,Earbuds,Rejected,674853
2358,Zaitra Taneja,Earbuds,Rejected,789557
2359,Michael Salvi,Air Purifier,Rejected,610240
2360,Nandini Kothari,Air Purifier,Rejected,759546
2361,Hemang Tripathi,Camera,Approved,839716
2362,Chaitanya Sarin,Drone,Approved,775772
2363,Forum Pandey,Drone,Approved,354729
2364,Mekhala Vora,Charger,Rejected,206220
2365,Rayaan Sunder,Air Purifier,Rejected,431122
2366,Mugdha Ratta,Earbuds,Approved,287521
2367,Prisha Master,Air Purifier,Rejected,305092
2368,Bimala Bajaj,Earbuds,Pending,621013
2369,Amrita Murthy,Air Purifier,Approved,800741
2370,Kamya Sankaran,Air Purifier,Rejected,057375
2371,Yochana Din,Drone,Rejected,328267
2372,Nandini Kara,Charger,Rejected,034471
2373,Gaurangi Sehgal,AC,Rejected,296593
2374,Lopa Sule,Earbuds,Rejected,603204
2375,Frederick Shah,Charger,Pending,815795
2376,Gopal Shukla,CPU,Rejected,430926
2377,Amruta Karnik,AC,Rejected,241050
2378,Charles Roy,Drone,Rejected,965913
2379,Sai Karnik,Camera,Pending,537154
2380,Isha Grover,Camera,Approved,776424
2381,Riya Gopal,Air Purifier,Approved,554320
2382,Anmol Nagarajan,Camera,Rejected,454935
2383,Diya Chander,Charger,Rejected,995898
2384,Upadhriti Bath,Earbuds,Approved,749528
2385,Azad Kakar,Air Purifier,Approved,750011
2386,Aashi Sami,Air Purifier,Approved,115257
2387,Rudra Prashad,Air Purifier,Approved,054267
2388,Ekapad Gandhi,Charger,Approved,228248
2389,Laksh Rege,Drone,Rejected,030655
2390,Nimrat Chaudhuri,Camera,Rejected,200257
2391,Jhalak Bail,Drone,Approved,133474
2392,Anjali Batta,AC,Pending,180203
2393,Maanas Sane,CPU,Approved,052342
2394,Jackson Handa,Charger,Rejected,120409
2395,Yasti Ranganathan,Air Purifier,Approved,814401
2396,Yochana Chadha,Drone,Approved,722864
2397,Umang De,Earbuds,Approved,583508
2398,Shravya Kurian,Earbuds,Rejected,392464
2399,Manya Prasad,Charger,Rejected,230442
2400,Eshana Pingle,AC,Pending,308103
2401,Praneel Nanda,AC,Approved,593951
2402,Hema Bala,Charger,Approved,188647
2403,Ati Palan,CPU,Approved,720791
2404,Urmi Oza,Charger,Rejected,029012
2405,Teerth Mangal,Earbuds,Rejected,789521
2406,Laksh Lala,Charger,Rejected,992198
2407,Chaitanya Sarin,CPU,Approved,572795
2408,Oscar Dhillon,Camera,Approved,402893
2409,Quincy Ghose,Air Purifier,Rejected,151727
2410,Leela Bhavsar,Air Purifier,Approved,458823
2411,Aadhya Ganesh,AC,Rejected,883075
2412,Jyoti Deol,Charger,Approved,543032
2413,Charles Nagy,AC,Rejected,243508
2414,Laban Dhawan,AC,Approved,415384
2415,Varsha Madan,Camera,Approved,070792
2416,Megha Manne,Earbuds,Rejected,464143
2417,Ladli Krish,Air Purifier,Pending,873777
2418,Varsha Patil,Air Purifier,Approved,488742
2419,Anvi Narula,Camera,Rejected,943857
2420,Balveer Hayer,Drone,Approved,941471
2421,Indali Dave,Drone,Rejected,775737
2422,Faras Ratta,Earbuds,Rejected,571096
2423,Sanaya Chandra,Earbuds,Rejected,812486
2424,Forum Murty,Air Purifier,Rejected,346089
2425,Ishani Thaker,Charger,Approved,952952
2426,Zinal Dyal,AC,Rejected,155919
2427,Patrick Doctor,CPU,Pending,219421
2428,Irya Lad,Air Purifier,Approved,013186
2429,Urishilla Kashyap,Camera,Approved,782903
2430,Charan Walla,Drone,Approved,449616
2431,Brijesh Kapur,Camera,Approved,009576
2432,Tanmayi Khalsa,Camera,Approved,569324
2433,Yug Dube,Air Purifier,Pending,161136
2434,Krishna Gola,AC,Approved,377253
2435,Vedant Kumar,AC,Pending,587539
2436,Isaiah Issac,CPU,Rejected,204719
2437,Chanakya Kant,Camera,Rejected,689976
2438,Ekani Khare,Camera,Approved,081828
2439,Manbir Pandey,AC,Pending,666194
2440,Manthan Dayal,CPU,Pending,736990
2441,Vasatika Rama,CPU,Rejected,098420
2442,Ekapad Raman,AC,Rejected,043793
2443,Widisha Natt,Air Purifier,Pending,272375
2444,Vinaya Chatterjee,Air Purifier,Approved,046534
2445,Barkha Kari,AC,Pending,471182
2446,Bhanumati Sachdeva,Charger,Rejected,396682
2447,Logan Lad,AC,Rejected,713859
2448,Gauri Tara,Air Purifier,Approved,884782
2449,Bina Kala,CPU,Approved,136887
2450,Ria Cheema,Earbuds,Approved,463883
2451,Anjali Kaul,AC,Approved,132074
2452,Avni Dani,Drone,Approved,266845
2453,Bakhshi Sundaram,Charger,Approved,427899
2454,Turvi Vyas,CPU,Approved,122842
2455,Ranveer Sani,Air Purifier,Approved,011742
2456,Zilmil Date,Air Purifier,Approved,230012
2457,Lavanya Sahota,Charger,Rejected,631733
2458,Harini Issac,CPU,Rejected,679551
2459,Harita Golla,Earbuds,Approved,482548
2460,Banjeet Master,Air Purifier,Approved,652844
2461,Devansh Bhavsar,AC,Pending,190140
2462,Avni Raj,Camera,Rejected,220537
2463,Nisha Korpal,Camera,Rejected,181976
2464,Turvi Contractor,AC,Approved,483008
2465,Jonathan Bains,Air Purifier,Pending,768965
2466,Omaja Gulati,CPU,Rejected,026900
2467,Isaiah Bumb,Charger,Approved,999625
2468,Upadhriti Gara,Air Purifier,Rejected,412797
2469,Sneha Grewal,Camera,Approved,767022
2470,Chatura Pingle,Drone,Rejected,461488
2471,Janani Menon,Camera,Approved,484135
2472,Urishilla Gandhi,Camera,Approved,700291
2473,Abdul Golla,Camera,Pending,446509
2474,Pranit Pillai,CPU,Approved,807036
2475,Eshana Sethi,Charger,Approved,363020
2476,Jeet Munshi,CPU,Pending,270037
2477,Daksh Walia,Charger,Rejected,646885
2478,Jeremiah Apte,Earbuds,Pending,882297
2479,Jonathan Madan,Charger,Approved,971533
2480,Ekaraj Muni,Charger,Rejected,475488
2481,Farhan Gandhi,Charger,Approved,250897
2482,Radhika Ramaswamy,Charger,Pending,645206
2483,Hemang Bal,AC,Rejected,339674
2484,Jeremiah Pingle,Charger,Approved,784084
2485,Tristan Behl,Charger,Pending,508266
2486,Falguni Chopra,Air Purifier,Pending,782616
2487,Chanchal Ravel,Drone,Approved,994113
2488,Tarak Mistry,AC,Approved,017068
2489,Avni Sarraf,Earbuds,Approved,661014
2490,Viraj Kade,AC,Rejected,161726
2491,Zehaan Varkey,Air Purifier,Approved,371615
2492,Chaman Chaudhuri,AC,Approved,064878
2493,Tara Agarwal,Charger,Approved,364094
2494,Hemang Seth,Earbuds,Rejected,184891
2495,Jagrati Som,Charger,Rejected,675673
2496,Wyatt Sarma,Air Purifier,Rejected,379216
2497,Faqid Merchant,Earbuds,Approved,090814
2498,Udyati Toor,Charger,Approved,300255
2499,Nitesh Dash,CPU,Approved,985609
2500,Anita Tata,Camera,Approved,868475
2501,Riya Sandhu,Charger,Approved,487302
2502,Anika Minhas,Air Purifier,Approved,869693
2503,Samesh Bhardwaj,CPU,Rejected,033306
2504,Watika Acharya,Camera,Approved,369638
2505,Max Om,Drone,Rejected,407337
2506,Hema Narula,Charger,Rejected,507511
2507,Aarini Reddy,Camera,Approved,661648
2508,Ladli Tandon,CPU,Rejected,555828
2509,Ekaraj Swaminathan,Camera,Pending,453219
2510,Gauri Bhattacharyya,Air Purifier,Approved,259791
2511,Ekansh Ray,CPU,Approved,350460
2512,Mitali Pandey,Charger,Approved,203818
2513,Jason Nagar,AC,Rejected,773189
2514,Frederick Swaminathan,CPU,Approved,448306
2515,Omkaar Ravel,Charger,Rejected,445681
2516,Unnati Chaudhuri,AC,Pending,496748
2517,George Kamdar,CPU,Approved,467405
2518,Niharika Mane,CPU,Rejected,808769
2519,Champak Arora,Drone,Approved,163592
2520,Daksha Mandal,CPU,Approved,251973
